,Uniprot_A,Uniprot_B,Gene_A,Gene_B,ORF_A,ORF_B,Alias_A,Alias_B,Type,taxid,ppi
110360,P40337,Q96KM6,VHL,ZNF512B,,,HGNC:12687,HGNC:29212,Binary,9606,P40337:Q96KM6
110361,P40337,Q99700,VHL,ATXN2,,,HGNC:12687,HGNC:10555,Binary,9606,P40337:Q99700
110362,P40337,Q99750,VHL,MDFI,,,HGNC:12687,HGNC:6967,Binary,9606,P40337:Q99750
110363,P40337,Q99873,VHL,PRMT1,,,HGNC:12687,HGNC:5187,Binary,9606,P40337:Q99873
110364,P40337,Q9BTE6,VHL,AARSD1,,,HGNC:12687,HGNC:28417|HGNC:43946,Binary,9606,P40337:Q9BTE6
110365,P40337,Q9BVA0,VHL,KATNB1,,,HGNC:12687,HGNC:6217,Binary,9606,P40337:Q9BVA0
110366,P40337,Q9C0C9,VHL,UBE2O,,,HGNC:12687,HGNC:29554,Binary,9606,P40337:Q9C0C9
110367,P40337,Q9GZL7,VHL,WDR12,,,HGNC:12687,HGNC:14098,Binary,9606,P40337:Q9GZL7
110368,P40337,Q9GZS3,VHL,WDR61,,,HGNC:12687,HGNC:30300,Binary,9606,P40337:Q9GZS3
110369,P40337,Q9H2C0,VHL,GAN,,,HGNC:12687,HGNC:4137,Binary,9606,P40337:Q9H2C0
110370,P40337,Q9H765,VHL,ASB8,,PP14212,HGNC:12687,HGNC:17183,Binary,9606,P40337:Q9H765
110371,P40337,Q9NR22,VHL,PRMT8,,,HGNC:12687,HGNC:5188,Binary,9606,P40337:Q9NR22
110372,P40337,Q9NR64,VHL,KLHL1,,,HGNC:12687,HGNC:6352,Binary,9606,P40337:Q9NR64
110373,P40337,Q9NV79,VHL,PCMTD2,,,HGNC:12687,HGNC:15882,Binary,9606,P40337:Q9NV79
110374,P40337,Q9NX09,VHL,DDIT4,,,HGNC:12687,HGNC:24944,Binary,9606,P40337:Q9NX09
110375,P40337,Q9NZJ0,VHL,DTL,,,HGNC:12687,HGNC:30288,Binary,9606,P40337:Q9NZJ0
110376,P40337,Q9UI10,VHL,EIF2B4,,,HGNC:12687,HGNC:3260,Binary,9606,P40337:Q9UI10
110377,P40337,Q9Y3C5,VHL,RNF11,,CGI-123,HGNC:12687,HGNC:10056,Binary,9606,P40337:Q9Y3C5
110378,P40337,Q9Y575,VHL,ASB3,,,HGNC:12687,HGNC:16013,Binary,9606,P40337:Q9Y575
110379,P40337,Q9Y5Q9,VHL,GTF3C3,,,HGNC:12687,HGNC:4666,Binary,9606,P40337:Q9Y5Q9
110380,P40337,Q9Y6I7,VHL,WSB1,,,HGNC:12687,HGNC:19221,Binary,9606,P40337:Q9Y6I7
169043,A0N4V7,P40337,TCR-ALPHA,VHL,HCG_2039797,,,HGNC:12687,Co-Complex,9606,A0N4V7:P40337
170186,B2R4S9,P40337,HIST1H2BC,VHL,HCG_1640484|HCG_1640985|HCG_1641780|HCG_1787353|HCG_1787365,,,HGNC:12687,Co-Complex,9606,B2R4S9:P40337
170199,B2RA89,P40337,B2RA89,VHL,,,,HGNC:12687,Co-Complex,9606,B2RA89:P40337
170334,B4DJ51,P40337,HEL-S-72,VHL,HCG_20313|HCG_21749,,,HGNC:12687,Co-Complex,9606,B4DJ51:P40337
170582,D9IAI1,P40337,HEL-S-34,VHL,HCG_2016249,,,HGNC:12687,Co-Complex,9606,D9IAI1:P40337
170590,E5RJ89,P40337,E5RJ89,VHL,,,,HGNC:12687,Co-Complex,9606,E5RJ89:P40337
170773,G3V2H5,P40337,G3V2H5,VHL,,,,HGNC:12687,Co-Complex,9606,G3V2H5:P40337
171973,O00264,P40337,PGRMC1,VHL,,,HGNC:16090,HGNC:12687,Co-Complex,9606,O00264:P40337
175703,O14737,P40337,PDCD5,VHL,,,HGNC:8764,HGNC:12687,Co-Complex,9606,O14737:P40337
177446,O15067,P40337,PFAS,VHL,,,HGNC:8863,HGNC:12687,Co-Complex,9606,O15067:P40337
179194,O15514,P40337,POLR2D,VHL,,,HGNC:9191,HGNC:12687,Co-Complex,9606,O15514:P40337
180248,O43294,P40337,TGFB1I1,VHL,,,HGNC:11767,HGNC:12687,Co-Complex,9606,O43294:P40337
182746,O43809,P40337,NUDT21,VHL,,,HGNC:13870,HGNC:12687,Co-Complex,9606,O43809:P40337
184186,O60493,P40337,SNX3,VHL,,,HGNC:11174,HGNC:12687,Co-Complex,9606,O60493:P40337
185542,O60888,P40337,CUTA,VHL,,,HGNC:21101,HGNC:12687,Co-Complex,9606,O60888:P40337
186824,O75347,P40337,TBCA,VHL,,,HGNC:11579,HGNC:12687,Co-Complex,9606,O75347:P40337
187254,O75396,P40337,SEC22B,VHL,,,HGNC:10700,HGNC:12687,Co-Complex,9606,O75396:P40337
188517,O75608,P40337,LYPLA1,VHL,,,HGNC:6737,HGNC:12687,Co-Complex,9606,O75608:P40337
188574,O75643,P40337,SNRNP200,VHL,,,HGNC:30859,HGNC:12687,Co-Complex,9606,O75643:P40337
188953,O75694,P40337,NUP155,VHL,,,HGNC:8063,HGNC:12687,Co-Complex,9606,O75694:P40337
189015,O75716,P40337,STK16,VHL,,,HGNC:11394,HGNC:12687,Co-Complex,9606,O75716:P40337
192700,O95260,P40337,ATE1,VHL,,,HGNC:782,HGNC:12687,Co-Complex,9606,O95260:P40337
192712,O95267,P40337,RASGRP1,VHL,,,HGNC:9878,HGNC:12687,Co-Complex,9606,O95267:P40337
192967,O95340,P40337,PAPSS2,VHL,,,HGNC:8604,HGNC:12687,Co-Complex,9606,O95340:P40337
195048,O95813,P40337,CER1,VHL,,,HGNC:1862,HGNC:12687,Co-Complex,9606,O95813:P40337
195962,P00492,P40337,HPRT1,VHL,,,HGNC:5157,HGNC:12687,Co-Complex,9606,P00492:P40337
196464,P01024,P40337,C3,VHL,,,HGNC:1318,HGNC:12687,Co-Complex,9606,P01024:P40337
196504,P01040,P40337,CSTA,VHL,,,HGNC:2481,HGNC:12687,Co-Complex,9606,P01040:P40337
196554,P01042,P40337,KNG1,VHL,,,HGNC:6383,HGNC:12687,Co-Complex,9606,P01042:P40337
197568,P02746,P40337,C1QB,VHL,,,HGNC:1242,HGNC:12687,Co-Complex,9606,P02746:P40337
200018,P04080,P40337,CSTB,VHL,,,HGNC:2482,HGNC:12687,Co-Complex,9606,P04080:P40337
200109,P04179,P40337,SOD2,VHL,,,HGNC:11180,HGNC:12687,Co-Complex,9606,P04179:P40337
201190,P05109,P40337,S100A8,VHL,,,HGNC:10498,HGNC:12687,Co-Complex,9606,P05109:P40337
202788,P05455,P40337,SSB,VHL,,,HGNC:11316,HGNC:12687,Co-Complex,9606,P05455:P40337
203229,P06454,P40337,PTMA,VHL,,,HGNC:9623,HGNC:12687,Co-Complex,9606,P06454:P40337
203375,P06702,P40337,S100A9,VHL,,,HGNC:10499,HGNC:12687,Co-Complex,9606,P06702:P40337
203996,P07237,P40337,P4HB,VHL,,,HGNC:8548,HGNC:12687,Co-Complex,9606,P07237:P40337
204149,P07355,P40337,ANXA2,VHL,,,HGNC:537,HGNC:12687,Co-Complex,9606,P07355:P40337
204446,P07741,P40337,APRT,VHL,,,HGNC:626,HGNC:12687,Co-Complex,9606,P07741:P40337
204867,P08134,P40337,RHOC,VHL,,,HGNC:669,HGNC:12687,Co-Complex,9606,P08134:P40337
206316,P09661,P40337,SNRPA1,VHL,,,HGNC:11152,HGNC:12687,Co-Complex,9606,P09661:P40337
206482,P09936,P40337,UCHL1,VHL,,,HGNC:12513,HGNC:12687,Co-Complex,9606,P09936:P40337
207258,P0DP25,P40337,CALM3,VHL,,,HGNC:1449,HGNC:12687,Co-Complex,9606,P0DP25:P40337
207765,P10599,P40337,TXN,VHL,,,HGNC:12435,HGNC:12687,Co-Complex,9606,P10599:P40337
209339,P12268,P40337,IMPDH2,VHL,,,HGNC:6053,HGNC:12687,Co-Complex,9606,P12268:P40337
210423,P13693,P40337,TPT1,VHL,,,HGNC:12022,HGNC:12687,Co-Complex,9606,P13693:P40337
210522,P13797,P40337,PLS3,VHL,,,HGNC:9091,HGNC:12687,Co-Complex,9606,P13797:P40337
210702,P14174,P40337,MIF,VHL,,,HGNC:7097,HGNC:12687,Co-Complex,9606,P14174:P40337
211288,P15121,P40337,AKR1B1,VHL,,,HGNC:381,HGNC:12687,Co-Complex,9606,P15121:P40337
211300,P15170,P40337,GSPT1,VHL,,,HGNC:4621,HGNC:12687,Co-Complex,9606,P15170:P40337
211384,P15311,P40337,EZR,VHL,,,HGNC:12691,HGNC:12687,Co-Complex,9606,P15311:P40337
212365,P16949,P40337,STMN1,VHL,,,HGNC:6510,HGNC:12687,Co-Complex,9606,P16949:P40337
212867,P17844,P40337,DDX5,VHL,,,HGNC:2746,HGNC:12687,Co-Complex,9606,P17844:P40337
213709,P19105,P40337,MYL12A,VHL,,,HGNC:16701,HGNC:12687,Co-Complex,9606,P19105:P40337
215002,P20290,P40337,BTF3,VHL,OK/SW-CL.8,,HGNC:1125,HGNC:12687,Co-Complex,9606,P20290:P40337
215257,P20340,P40337,RAB6A,VHL,,,HGNC:9786,HGNC:12687,Co-Complex,9606,P20340:P40337
215274,P20618,P40337,PSMB1,VHL,,,HGNC:9537,HGNC:12687,Co-Complex,9606,P20618:P40337
215316,P20674,P40337,COX5A,VHL,,,HGNC:2267,HGNC:12687,Co-Complex,9606,P20674:P40337
215354,P20701,P40337,ITGAL,VHL,,,HGNC:6148,HGNC:12687,Co-Complex,9606,P20701:P40337
215415,P20849,P40337,COL9A1,VHL,,,HGNC:2217,HGNC:12687,Co-Complex,9606,P20849:P40337
215444,P20930,P40337,FLG,VHL,,,HGNC:3748,HGNC:12687,Co-Complex,9606,P20930:P40337
216110,P22061,P40337,PCMT1,VHL,,,HGNC:8728,HGNC:12687,Co-Complex,9606,P22061:P40337
216954,P23284,P40337,PPIB,VHL,,,HGNC:9255,HGNC:12687,Co-Complex,9606,P23284:P40337
217249,P23508,P40337,MCC,VHL,,,HGNC:6935,HGNC:12687,Co-Complex,9606,P23508:P40337
217518,P23919,P40337,DTYMK,VHL,,,HGNC:3061,HGNC:12687,Co-Complex,9606,P23919:P40337
217641,P24539,P40337,ATP5PB,VHL,,,HGNC:840,HGNC:12687,Co-Complex,9606,P24539:P40337
217694,P24666,P40337,ACP1,VHL,,,HGNC:122,HGNC:12687,Co-Complex,9606,P24666:P40337
217858,P24941,P40337,CDK2,VHL,,,HGNC:1771,HGNC:12687,Co-Complex,9606,P24941:P40337
218530,P25787,P40337,PSMA2,VHL,,,HGNC:9531,HGNC:12687,Co-Complex,9606,P25787:P40337
218915,P26441,P40337,CNTF,VHL,,,HGNC:2169,HGNC:12687,Co-Complex,9606,P26441:P40337
218986,P26639,P40337,TARS1,VHL,,,HGNC:11572,HGNC:12687,Co-Complex,9606,P26639:P40337
219007,P26640,P40337,VARS1,VHL,,,HGNC:12651,HGNC:12687,Co-Complex,9606,P26640:P40337
219359,P27540,P40337,ARNT,VHL,,,HGNC:700,HGNC:12687,Co-Complex,9606,P27540:P40337
220650,P28074,P40337,PSMB5,VHL,,,HGNC:9542,HGNC:12687,Co-Complex,9606,P28074:P40337
221473,P29401,P40337,TKT,VHL,,,HGNC:11834,HGNC:12687,Co-Complex,9606,P29401:P40337
221594,P29692,P40337,EEF1D,VHL,,,HGNC:3211,HGNC:12687,Co-Complex,9606,P29692:P40337
221705,P30046,P40337,DDT,VHL,,,HGNC:2732,HGNC:12687,Co-Complex,9606,P30046:P40337
221784,P30084,P40337,ECHS1,VHL,,,HGNC:3151,HGNC:12687,Co-Complex,9606,P30084:P40337
221829,P30086,P40337,PEBP1,VHL,,,HGNC:8630,HGNC:12687,Co-Complex,9606,P30086:P40337
222938,P31939,P40337,ATIC,VHL,OK/SW-CL.86,,HGNC:794,HGNC:12687,Co-Complex,9606,P31939:P40337
223352,P31949,P40337,S100A11,VHL,,,HGNC:10488,HGNC:12687,Co-Complex,9606,P31949:P40337
223550,P33176,P40337,KIF5B,VHL,,,HGNC:6324,HGNC:12687,Co-Complex,9606,P33176:P40337
223829,P33993,P40337,MCM7,VHL,,,HGNC:6950,HGNC:12687,Co-Complex,9606,P33993:P40337
224101,P35080,P40337,PFN2,VHL,,,HGNC:8882,HGNC:12687,Co-Complex,9606,P35080:P40337
224328,P35244,P40337,RPA3,VHL,,,HGNC:10291,HGNC:12687,Co-Complex,9606,P35244:P40337
224419,P35268,P40337,RPL22,VHL,,,HGNC:10315,HGNC:12687,Co-Complex,9606,P35268:P40337
225533,P36954,P40337,POLR2I,VHL,,,HGNC:9196,HGNC:12687,Co-Complex,9606,P36954:P40337
225613,P37108,P40337,SRP14,VHL,,,HGNC:11299,HGNC:12687,Co-Complex,9606,P37108:P40337
225701,P37802,P40337,TAGLN2,VHL,CDABP0035,,HGNC:11554,HGNC:12687,Co-Complex,9606,P37802:P40337
226075,P39019,P40337,RPS19,VHL,,,HGNC:10402,HGNC:12687,Co-Complex,9606,P39019:P40337
226393,P40337,P41252,VHL,IARS1,,,HGNC:12687,HGNC:5330,Co-Complex,9606,P40337:P41252
226394,P40337,P42766,VHL,RPL35,,,HGNC:12687,HGNC:10344,Co-Complex,9606,P40337:P42766
226395,P40337,P42771,VHL,CDKN2A,,,HGNC:12687,HGNC:1787,Co-Complex,9606,P40337:P42771
226396,P40337,P43307,VHL,SSR1,,PSEC0262,HGNC:12687,HGNC:11323,Co-Complex,9606,P40337:P43307
226397,P40337,P43487,VHL,RANBP1,,,HGNC:12687,HGNC:9847,Co-Complex,9606,P40337:P43487
226398,P40337,P46781,VHL,RPS9,,,HGNC:12687,HGNC:10442,Co-Complex,9606,P40337:P46781
226399,P40337,P46783,VHL,RPS10,,,HGNC:12687,HGNC:10383,Co-Complex,9606,P40337:P46783
226400,P40337,P47813,VHL,EIF1AX,,,HGNC:12687,HGNC:3250,Co-Complex,9606,P40337:P47813
226401,P40337,P47914,VHL,RPL29,,,HGNC:12687,HGNC:10331,Co-Complex,9606,P40337:P47914
226402,P40337,P47985,VHL,UQCRFS1,,,HGNC:12687,HGNC:12587,Co-Complex,9606,P40337:P47985
226403,P40337,P48047,VHL,ATP5PO,,,HGNC:12687,HGNC:850,Co-Complex,9606,P40337:P48047
226404,P40337,P48739,VHL,PITPNB,,,HGNC:12687,HGNC:9002,Co-Complex,9606,P40337:P48739
226405,P40337,P49257,VHL,LMAN1,,,HGNC:12687,HGNC:6631,Co-Complex,9606,P40337:P49257
226406,P40337,P49720,VHL,PSMB3,,,HGNC:12687,HGNC:9540,Co-Complex,9606,P40337:P49720
226407,P40337,P49755,VHL,TMED10,,,HGNC:12687,HGNC:16998,Co-Complex,9606,P40337:P49755
226408,P40337,P49773,VHL,HINT1,,,HGNC:12687,HGNC:4912,Co-Complex,9606,P40337:P49773
226409,P40337,P50395,VHL,GDI2,,,HGNC:12687,HGNC:4227,Co-Complex,9606,P40337:P50395
226410,P40337,P50748,VHL,KNTC1,,,HGNC:12687,HGNC:17255,Co-Complex,9606,P40337:P50748
226411,P40337,P51148,VHL,RAB5C,,,HGNC:12687,HGNC:9785,Co-Complex,9606,P40337:P51148
226412,P40337,P51149,VHL,RAB7A,,,HGNC:12687,HGNC:9788,Co-Complex,9606,P40337:P51149
226413,P40337,P53396,VHL,ACLY,,,HGNC:12687,HGNC:115,Co-Complex,9606,P40337:P53396
226414,P40337,P56134,VHL,ATP5MF,,,HGNC:12687,HGNC:848,Co-Complex,9606,P40337:P56134
226415,P40337,P58546,VHL,MTPN,,,HGNC:12687,HGNC:15667,Co-Complex,9606,P40337:P58546
226416,P40337,P60660,VHL,MYL6,,,HGNC:12687,HGNC:7587,Co-Complex,9606,P40337:P60660
226417,P40337,P60900,VHL,PSMA6,,,HGNC:12687,HGNC:9535,Co-Complex,9606,P40337:P60900
226418,P40337,P61019,VHL,RAB2A,,,HGNC:12687,HGNC:9763,Co-Complex,9606,P40337:P61019
226419,P40337,P61077,VHL,UBE2D3,,,HGNC:12687,HGNC:12476,Co-Complex,9606,P40337:P61077
226420,P40337,P61081,VHL,UBE2M,,,HGNC:12687,HGNC:12491,Co-Complex,9606,P40337:P61081
226421,P40337,P61086,VHL,UBE2K,,,HGNC:12687,HGNC:4914,Co-Complex,9606,P40337:P61086
226422,P40337,P61088,VHL,UBE2N,,,HGNC:12687,HGNC:12492,Co-Complex,9606,P40337:P61088
226423,P40337,P61106,VHL,RAB14,,,HGNC:12687,HGNC:16524,Co-Complex,9606,P40337:P61106
226424,P40337,P61513,VHL,RPL37A,,,HGNC:12687,HGNC:10348,Co-Complex,9606,P40337:P61513
226425,P40337,P61604,VHL,HSPE1,,,HGNC:12687,HGNC:5269,Co-Complex,9606,P40337:P61604
226426,P40337,P61626,VHL,LYZ,,,HGNC:12687,HGNC:6740,Co-Complex,9606,P40337:P61626
226427,P40337,P62249,VHL,RPS16,,,HGNC:12687,HGNC:10396,Co-Complex,9606,P40337:P62249
226428,P40337,P62330,VHL,ARF6,,,HGNC:12687,HGNC:659,Co-Complex,9606,P40337:P62330
226429,P40337,P62487,VHL,POLR2G,,,HGNC:12687,HGNC:9194,Co-Complex,9606,P40337:P62487
226430,P40337,P62491,VHL,RAB11A,,,HGNC:12687,HGNC:9760,Co-Complex,9606,P40337:P62491
226431,P40337,P62750,VHL,RPL23A,,,HGNC:12687,HGNC:10317,Co-Complex,9606,P40337:P62750
226432,P40337,P62807,VHL,H2BC4|H2BC6|H2BC7|H2BC8|H2BC10,,,HGNC:12687,HGNC:4756|HGNC:4757|HGNC:4753|HGNC:4752|HGNC:4746,Co-Complex,9606,P40337:P62807
226433,P40337,P62834,VHL,RAP1A,,,HGNC:12687,HGNC:9855,Co-Complex,9606,P40337:P62834
226434,P40337,P62877,VHL,RBX1,,,HGNC:12687,HGNC:9928,Co-Complex,9606,P40337:P62877
226435,P40337,P62942,VHL,FKBP1A,,,HGNC:12687,HGNC:3711,Co-Complex,9606,P40337:P62942
226436,P40337,P68036,VHL,UBE2L3,,,HGNC:12687,HGNC:12488,Co-Complex,9606,P40337:P68036
226437,P40337,P78396,VHL,CCNA1,,,HGNC:12687,HGNC:1577,Co-Complex,9606,P40337:P78396
226438,P40337,P99999,VHL,CYCS,,,HGNC:12687,HGNC:19986,Co-Complex,9606,P40337:P99999
226439,P40337,Q00005,VHL,PPP2R2B,,,HGNC:12687,HGNC:9305,Co-Complex,9606,P40337:Q00005
226440,P40337,Q01105,VHL,SET,,,HGNC:12687,HGNC:10760,Co-Complex,9606,P40337:Q01105
226441,P40337,Q01469,VHL,FABP5,,,HGNC:12687,HGNC:3560,Co-Complex,9606,P40337:Q01469
226442,P40337,Q02543,VHL,RPL18A,,,HGNC:12687,HGNC:10311,Co-Complex,9606,P40337:Q02543
226443,P40337,Q04724,VHL,TLE1,,,HGNC:12687,HGNC:11837,Co-Complex,9606,P40337:Q04724
226444,P40337,Q04941,VHL,PLP2,,,HGNC:12687,HGNC:9087,Co-Complex,9606,P40337:Q04941
226445,P40337,Q12996,VHL,CSTF3,,,HGNC:12687,HGNC:2485,Co-Complex,9606,P40337:Q12996
226446,P40337,Q13315,VHL,ATM,,,HGNC:12687,HGNC:795,Co-Complex,9606,P40337:Q13315
226447,P40337,Q13404,VHL,UBE2V1,,P/OKCL.19,HGNC:12687,HGNC:12494,Co-Complex,9606,P40337:Q13404
226448,P40337,Q13439,VHL,GOLGA4,,,HGNC:12687,HGNC:4427,Co-Complex,9606,P40337:Q13439
226449,P40337,Q13526,VHL,PIN1,,,HGNC:12687,HGNC:8988,Co-Complex,9606,P40337:Q13526
226450,P40337,Q13617,VHL,CUL2,,,HGNC:12687,HGNC:2552,Co-Complex,9606,P40337:Q13617
226451,P40337,Q14019,VHL,COTL1,,,HGNC:12687,HGNC:18304,Co-Complex,9606,P40337:Q14019
226452,P40337,Q14197,VHL,MRPL58,,,HGNC:12687,HGNC:5359,Co-Complex,9606,P40337:Q14197
226453,P40337,Q14203,VHL,DCTN1,,,HGNC:12687,HGNC:2711,Co-Complex,9606,P40337:Q14203
226454,P40337,Q14669,VHL,TRIP12,,,HGNC:12687,HGNC:12306,Co-Complex,9606,P40337:Q14669
226455,P40337,Q15019,VHL,SEPTIN2,,,HGNC:12687,HGNC:7729,Co-Complex,9606,P40337:Q15019
226456,P40337,Q15185,VHL,PTGES3,,,HGNC:12687,HGNC:16049,Co-Complex,9606,P40337:Q15185
226457,P40337,Q15286,VHL,RAB35,,,HGNC:12687,HGNC:9774,Co-Complex,9606,P40337:Q15286
226458,P40337,Q15363,VHL,TMED2,,,HGNC:12687,HGNC:16996,Co-Complex,9606,P40337:Q15363
226459,P40337,Q15365,VHL,PCBP1,,,HGNC:12687,HGNC:8647,Co-Complex,9606,P40337:Q15365
226460,P40337,Q15369,VHL,ELOC,,,HGNC:12687,HGNC:11617,Co-Complex,9606,P40337:Q15369
226461,P40337,Q15370,VHL,ELOB,,,HGNC:12687,HGNC:11619,Co-Complex,9606,P40337:Q15370
226462,P40337,Q15459,VHL,SF3A1,,,HGNC:12687,HGNC:10765,Co-Complex,9606,P40337:Q15459
226463,P40337,Q15652,VHL,JMJD1C,,,HGNC:12687,HGNC:12313,Co-Complex,9606,P40337:Q15652
226464,P40337,Q15836,VHL,VAMP3,,,HGNC:12687,HGNC:12644,Co-Complex,9606,P40337:Q15836
226465,P40337,Q15843,VHL,NEDD8,,,HGNC:12687,HGNC:7732,Co-Complex,9606,P40337:Q15843
226466,P40337,Q16658,VHL,FSCN1,,,HGNC:12687,HGNC:11148,Co-Complex,9606,P40337:Q16658
