,Uniprot_A,Uniprot_B,Gene_A,Gene_B,ORF_A,ORF_B,Alias_A,Alias_B,Type,taxid,ppi
110361,P40337,Q99700,VHL,ATXN2,,,HGNC:12687,HGNC:10555,Binary,9606,P40337:Q99700
110362,P40337,Q99750,VHL,MDFI,,,HGNC:12687,HGNC:6967,Binary,9606,P40337:Q99750
110363,P40337,Q99873,VHL,PRMT1,,,HGNC:12687,HGNC:5187,Binary,9606,P40337:Q99873
110364,P40337,Q9BTE6,VHL,AARSD1,,,HGNC:12687,HGNC:28417|HGNC:43946,Binary,9606,P40337:Q9BTE6
110365,P40337,Q9BVA0,VHL,KATNB1,,,HGNC:12687,HGNC:6217,Binary,9606,P40337:Q9BVA0
110366,P40337,Q9C0C9,VHL,UBE2O,,,HGNC:12687,HGNC:29554,Binary,9606,P40337:Q9C0C9
110367,P40337,Q9GZL7,VHL,WDR12,,,HGNC:12687,HGNC:14098,Binary,9606,P40337:Q9GZL7
110368,P40337,Q9GZS3,VHL,WDR61,,,HGNC:12687,HGNC:30300,Binary,9606,P40337:Q9GZS3
110369,P40337,Q9H2C0,VHL,GAN,,,HGNC:12687,HGNC:4137,Binary,9606,P40337:Q9H2C0
110370,P40337,Q9H765,VHL,ASB8,,PP14212,HGNC:12687,HGNC:17183,Binary,9606,P40337:Q9H765
110371,P40337,Q9NR22,VHL,PRMT8,,,HGNC:12687,HGNC:5188,Binary,9606,P40337:Q9NR22
110372,P40337,Q9NR64,VHL,KLHL1,,,HGNC:12687,HGNC:6352,Binary,9606,P40337:Q9NR64
110373,P40337,Q9NV79,VHL,PCMTD2,,,HGNC:12687,HGNC:15882,Binary,9606,P40337:Q9NV79
110374,P40337,Q9NX09,VHL,DDIT4,,,HGNC:12687,HGNC:24944,Binary,9606,P40337:Q9NX09
110375,P40337,Q9NZJ0,VHL,DTL,,,HGNC:12687,HGNC:30288,Binary,9606,P40337:Q9NZJ0
110376,P40337,Q9UI10,VHL,EIF2B4,,,HGNC:12687,HGNC:3260,Binary,9606,P40337:Q9UI10
110377,P40337,Q9Y3C5,VHL,RNF11,,CGI-123,HGNC:12687,HGNC:10056,Binary,9606,P40337:Q9Y3C5
110378,P40337,Q9Y575,VHL,ASB3,,,HGNC:12687,HGNC:16013,Binary,9606,P40337:Q9Y575
110379,P40337,Q9Y5Q9,VHL,GTF3C3,,,HGNC:12687,HGNC:4666,Binary,9606,P40337:Q9Y5Q9
110380,P40337,Q9Y6I7,VHL,WSB1,,,HGNC:12687,HGNC:19221,Binary,9606,P40337:Q9Y6I7
